,zip,StateName,pop_rank,2008 mean_median,2009 mean_median,2010 mean_median,2011 mean_median,2012 mean_median,2013 mean_median,2014 mean_median,2015 mean_median,2016 mean_median,2017 mean_median,2018 mean_median,2019 mean_median,dorian_affected,%_change_after_dorian,sandy_affected,%_change_after_sandy,harvey_affected,%_change_after_harvey,harvey_category
0,10025,New York,1,,,,,,,,,936525.0,984016.6666666664,1008175.0,971308.3333333336,0,-0.1450946478331892,1,,0,0.1752132914234396,4
1,60657,Illinois,2,376660.0,380441.66666666674,380441.66666666674,377933.33333333326,350575.0,356400.0,382133.33333333326,359341.66666666674,325500.0,328433.33333333326,370691.66666666674,406625.0,0,-0.04044029672170376,0,-0.10347682119205298,0,-0.16655540720961282,4
2,10023,New York,3,,,,,,,,,1186400.0,1181275.0,1122175.0,1135266.666666667,0,-0.13701270258431889,1,,0,-0.01700976971388695,4
3,77494,Texas,4,243110.0,246758.33333333328,246758.33333333328,244550.0,252083.33333333328,263333.33333333326,289441.66666666674,311450.0,317041.66666666674,328058.33333333326,331466.66666666674,323990.9090909091,0,-0.02059282371294852,0,0.00996412913511359,1,-0.04158907510862818,4
4,60614,Illinois,5,,,,,,,,,,382900.0,433141.66666666674,504058.33333333326,0,-0.06387755102040818,0,,0,0.08349802371541502,4
5,77449,Texas,6,,,,,,,138350.0,153158.33333333337,163041.66666666663,169491.66666666663,176541.66666666663,188425.0,0,0.013234515616728428,0,,1,-0.012316715542521995,4
6,10002,New York,7,,,,,,,,,818500.0,801516.6666666665,881208.3333333335,826275.0,0,-0.10177364864864864,1,,0,0.006379393355801637,4
7,77084,Texas,8,114950.0,113758.33333333331,113758.33333333331,104741.66666666669,105108.33333333331,122225.0,134033.33333333337,151466.66666666663,157341.66666666663,164075.0,164491.66666666663,184316.66666666663,0,0.08324084350721421,0,0.03441860465116279,1,-0.038882138517618466,4
8,79936,Texas,9,,118025.0,118025.0,112583.33333333331,115775.0,116600.0,115375.0,116433.33333333331,118066.66666666669,124733.33333333331,126408.33333333331,135827.27272727276,0,0.005173688100517369,0,-0.01471861471861472,0,-0.01751592356687898,4
9,78660,Texas,10,,152400.0,152400.0,145191.66666666663,148766.66666666663,166433.33333333337,179791.66666666663,204008.33333333328,219900.0,236441.66666666663,244483.33333333328,256875.0,0,0.026357199055861525,0,0.03713355048859935,0,-0.043553255713669685,4
10,10016,New York,11,,,,,682766.6666666665,725733.3333333335,728083.3333333335,871216.6666666665,855883.3333333335,806466.6666666665,811100.0,850591.6666666665,0,-0.13566716322621836,1,0.2504612546125461,0,0.04326865131975413,4
11,37013,Tennessee,12,131300.0,119600.0,119600.0,104175.0,108691.66666666669,118400.0,131225.0,144883.33333333337,160591.66666666663,183383.33333333328,208408.33333333328,223850.0,0,0.004372540445999125,0,0.048158640226628885,0,-0.0858416945373467,4
12,32162,Florida,13,193380.0,181941.66666666663,181941.66666666663,180450.0,182666.66666666663,199250.0,228333.33333333328,233941.66666666663,236858.33333333328,237166.66666666663,247666.66666666663,263000.0,0,0.04756425009589567,0,-0.014469453376205787,0,-0.0038022813688212928,4
13,60647,Illinois,14,,,,,,,,330157.14285714284,348075.0,363375.0,396483.33333333326,407141.66666666674,0,0.09088528025144056,0,,0,0.050388635754489416,4
14,90250,California,15,411170.0,333675.0,333675.0,318458.33333333326,312616.66666666674,377783.33333333326,457375.0,488733.33333333326,531183.3333333335,591783.3333333335,641766.6666666665,696941.6666666665,0,0.14563106796116504,0,-0.0018226002430133657,0,0.06047197640117994,4
15,78130,Texas,16,,,,,,,,188928.57142857145,202183.33333333328,214475.0,221908.33333333328,228675.0,0,-0.009162303664921463,0,,0,-0.034074775201135825,4
